candle_time,event_time,funding_timestamp,funding_rate
2020-03-25 00:00:00+00:00,,,
2020-03-26 00:00:00+00:00,2020-03-26 00:00:00+00:00,1585180800000.0,0.0001
2020-03-27 00:00:00+00:00,2020-03-27 00:00:00+00:00,1585267200000.0,0.0001
2020-03-28 00:00:00+00:00,2020-03-28 00:00:00+00:00,1585353600000.0,0.0001
2020-03-29 00:00:00+00:00,2020-03-29 00:00:00+00:00,1585440000000.0,0.0001
2020-03-30 00:00:00+00:00,2020-03-30 00:00:00+00:00,1585526400000.0,0.0001
2020-03-31 00:00:00+00:00,2020-03-31 00:00:00+00:00,1585612800000.0,0.0001
2020-04-01 00:00:00+00:00,2020-04-01 00:00:00+00:00,1585699200000.0,0.0001
2020-04-02 00:00:00+00:00,2020-04-02 00:00:00+00:00,1585785600000.0,-0.00065103
2020-04-03 00:00:00+00:00,2020-04-03 00:00:00+00:00,1585872000000.0,-0.00196465
2020-04-04 00:00:00+00:00,2020-04-04 00:00:00+00:00,1585958400000.0,-0.0007468
2020-04-05 00:00:00+00:00,2020-04-05 00:00:00+00:00,1586044800000.0,0.0001
2020-04-06 00:00:00+00:00,2020-04-06 00:00:00+00:00,1586131200000.0,0.0001
2020-04-07 00:00:00+00:00,2020-04-07 00:00:00+00:00,1586217600000.0,9.599e-05
2020-04-08 00:00:00+00:00,2020-04-08 00:00:00+00:00,1586304000000.0,0.0001
2020-04-09 00:00:00+00:00,2020-04-09 00:00:00+00:00,1586390400000.0,0.0001
2020-04-10 00:00:00+00:00,2020-04-10 00:00:00+00:00,1586476800000.0,6.698e-05
2020-04-11 00:00:00+00:00,2020-04-11 00:00:00+00:00,1586563200000.0,0.0001
2020-04-12 00:00:00+00:00,2020-04-12 00:00:00+00:00,1586649600000.0,0.0001
2020-04-13 00:00:00+00:00,2020-04-13 00:00:00+00:00,1586736000000.0,0.0001
2020-04-14 00:00:00+00:00,2020-04-14 00:00:00+00:00,1586822400000.0,-0.00029311
2020-04-15 00:00:00+00:00,2020-04-15 00:00:00+00:00,1586908800000.0,-0.00038444
2020-04-16 00:00:00+00:00,2020-04-16 00:00:00+00:00,1586995200000.0,-0.00044288
2020-04-17 00:00:00+00:00,2020-04-17 00:00:00+00:00,1587081600000.0,-0.00070903
2020-04-18 00:00:00+00:00,2020-04-18 00:00:00+00:00,1587168000000.0,-6.622e-05
2020-04-19 00:00:00+00:00,2020-04-19 00:00:00+00:00,1587254400000.0,-0.00027777
