asset,interval,variant,total_rows,train_rows,test_rows,train_start,test_start,test_end,accuracy,balanced_accuracy,f1,accuracy_difference_from_baseline,significance_difference,significance_interval_low,significance_interval_high,mcnemar_p_value,model_only,baseline_only,cost_aware_total_return_pct,cost_aware_total_pnl,cost_aware_total_cost,cost_aware_sharpe_ratio,cost_aware_volatility_pct,cost_aware_max_drawdown_pct,cost_aware_win_rate,cost_aware_profit_factor,cost_aware_total_trades
BTC,1h,baseline,46214,36971,9243,2021-05-21T17:00:00,2025-08-10T04:00:00,2026-08-30T06:00:00,0.5303472898409607,0.5305376881269337,0.5507606333436821,0.0,0.0,0.0,0.0,1.0,0,0,-693.68,-69367.64,70521.13,1.13,62472.52,541.11,42.7,0.77,419
BTC,1h,cross_asset,46214,36971,9243,2021-05-21T17:00:00,2025-08-10T04:00:00,2026-08-30T06:00:00,0.5288326300984529,0.5290741092765587,0.5547490031694101,-0.0015146597425077513,-0.0015146597425077513,-0.005625879043600563,0.00249107432651735,0.4821354479136962,164,178,-706.17,-70617.34,71364.62,1.49,11798.39,543.0,42.8,0.77,425
BTC,4h,baseline,11403,9122,2281,2021-06-15T16:00:00,2025-08-15T00:00:00,2026-08-30T00:00:00,0.5230162209557212,0.5235256037666799,0.5518945634266886,0.0,0.0,0.0,0.0,1.0,0,0,-198.98,-19898.0,27314.11,1.12,46853.3,214.95,39.6,0.88,164
BTC,4h,cross_asset,11403,9122,2281,2021-06-15T16:00:00,2025-08-15T00:00:00,2026-08-30T00:00:00,0.5221394125383604,0.5225507200915223,0.5454545454545454,-0.0008768084173608193,-0.0008768084173608193,-0.007452871547566856,0.006137658921525646,0.9006532462520331,31,33,-214.0,-21399.91,27669.65,0.13,5039.3,210.99,38.9,0.88,167
ETH,1h,baseline,46214,36971,9243,2021-05-21T17:00:00,2025-08-10T04:00:00,2026-08-30T06:00:00,0.5283998701720221,0.5283344403428024,0.5201981287837094,0.0,0.0,0.0,0.0,1.0,0,0,-27.96,-2796.16,2641.01,-1.6,18.36,35.7,42.0,0.8,469
ETH,1h,cross_asset,46214,36971,9243,2021-05-21T17:00:00,2025-08-10T04:00:00,2026-08-30T06:00:00,0.5312128096938223,0.5312606957201013,0.5351357150520331,0.002812939521800284,0.002812939521800284,-0.0029211295034079843,0.009087958455047063,0.37010624221298566,402,376,-23.72,-2371.7,2609.9,-1.37,17.57,33.96,42.4,0.82,467
ETH,4h,baseline,11403,9122,2281,2021-06-15T16:00:00,2025-08-15T00:00:00,2026-08-30T00:00:00,0.5287154756685665,0.5286812586971731,0.5332175423360833,0.0,0.0,0.0,0.0,1.0,0,0,-15.21,-1520.88,1099.28,-1.0,14.72,19.7,35.9,0.8,195
ETH,4h,cross_asset,11403,9122,2281,2021-06-15T16:00:00,2025-08-15T00:00:00,2026-08-30T00:00:00,0.5300306882946076,0.5300493576585096,0.5294117647058824,0.0013152126260411734,0.0013152126260411734,-0.011409469530907497,0.014905743095133712,0.8939683731434863,114,111,-13.72,-1371.53,1122.13,-0.9,14.54,18.65,35.9,0.82,198
SOL,1h,baseline,42504,34003,8501,2021-10-23T07:00:00,2025-09-10T02:00:00,2026-08-30T06:00:00,0.5175861663333725,0.5175642387685038,0.5041712005803409,0.0,0.0,0.0,0.0,1.0,0,0,-0.71,-71.48,84.18,-1.09,0.68,0.94,39.3,0.85,354
SOL,1h,cross_asset,42504,34003,8501,2021-10-23T07:00:00,2025-09-10T02:00:00,2026-08-30T06:00:00,0.5151158687213269,0.5150903555473046,0.4993927617196988,-0.0024702976120456466,-0.0024702976120456466,-0.008119632984354782,0.0034143041995059243,0.4447946346609022,332,353,-0.73,-73.47,83.22,-1.13,0.67,0.95,39.7,0.85,350
SOL,4h,baseline,10476,8380,2096,2021-11-17T04:00:00,2025-09-14T20:00:00,2026-08-30T00:00:00,0.5028625954198473,0.5020631520586383,0.4821073558648111,0.0,0.0,0.0,0.0,1.0,0,0,-0.61,-60.65,44.22,-1.12,0.57,0.76,34.1,0.81,185
SOL,4h,cross_asset,10476,8380,2096,2021-11-17T04:00:00,2025-09-14T20:00:00,2026-08-30T00:00:00,0.5052480916030534,0.5038727985825575,0.47652700656234226,0.0023854961832060484,0.0023854961832060484,-0.009541984732824428,0.01431297709923664,0.7556058753183411,85,80,-0.54,-54.17,47.28,-0.95,0.6,0.77,35.4,0.84,198
