funding_timestamp,funding_rate,event_time
1603267200000,0.0001,2020-10-21 08:00:00+00:00
1603296000000,0.0001,2020-10-21 16:00:00+00:00
1603324800000,0.00034562,2020-10-22 00:00:00+00:00
1603353600000,0.0009864,2020-10-22 08:00:00+00:00
1603382400000,0.00099461,2020-10-22 16:00:00+00:00
1603411200000,0.00065881,2020-10-23 00:00:00+00:00
1603440000000,0.00046995,2020-10-23 08:00:00+00:00
1603468800000,0.00036178,2020-10-23 16:00:00+00:00
1603497600000,0.00015792,2020-10-24 00:00:00+00:00
1603526400000,0.00024027,2020-10-24 08:00:00+00:00
1603555200000,0.0001,2020-10-24 16:00:00+00:00
1603584000000,0.0001,2020-10-25 00:00:00+00:00
1603612800000,0.00019589,2020-10-25 08:00:00+00:00
1603641600000,0.0001,2020-10-25 16:00:00+00:00
1603670400000,0.0001,2020-10-26 00:00:00+00:00
1603699200000,0.0001,2020-10-26 08:00:00+00:00
1603728000000,0.0001,2020-10-26 16:00:00+00:00
1603756800000,0.00014078,2020-10-27 00:00:00+00:00
1603785600000,0.0001,2020-10-27 08:00:00+00:00
1603814400000,0.0001,2020-10-27 16:00:00+00:00
1603843200000,0.00031619,2020-10-28 00:00:00+00:00
1603872000000,0.00046131,2020-10-28 08:00:00+00:00
1603900800000,0.00033981,2020-10-28 16:00:00+00:00
1603929600000,0.0001,2020-10-29 00:00:00+00:00
1603958400000,0.0001,2020-10-29 08:00:00+00:00
1603987200000,0.0001,2020-10-29 16:00:00+00:00
1604016000000,0.0001,2020-10-30 00:00:00+00:00
1604044800000,0.0001,2020-10-30 08:00:00+00:00
1604073600000,0.0001,2020-10-30 16:00:00+00:00
1604102400000,0.0001,2020-10-31 00:00:00+00:00
1604131200000,0.0001,2020-10-31 08:00:00+00:00
1604160000000,0.0001,2020-10-31 16:00:00+00:00
1604188800000,0.00019491,2020-11-01 00:00:00+00:00
1604217600000,0.00041797,2020-11-01 08:00:00+00:00
1604246400000,0.00011412,2020-11-01 16:00:00+00:00
1604275200000,0.00025097,2020-11-02 00:00:00+00:00
1604304000000,0.00043575,2020-11-02 08:00:00+00:00
1604332800000,0.00086948,2020-11-02 16:00:00+00:00
1604361600000,0.00025355,2020-11-03 00:00:00+00:00
1604390400000,0.00058716,2020-11-03 08:00:00+00:00
1604419200000,0.0001,2020-11-03 16:00:00+00:00
1604448000000,0.0001,2020-11-04 00:00:00+00:00
1604476800000,0.00016181,2020-11-04 08:00:00+00:00
1604505600000,0.0001,2020-11-04 16:00:00+00:00
1604534400000,0.0001,2020-11-05 00:00:00+00:00
1604563200000,0.00138034,2020-11-05 08:00:00+00:00
1604592000000,0.0014097,2020-11-05 16:00:00+00:00
1604620800000,0.00089952,2020-11-06 00:00:00+00:00
1604649600000,0.00098266,2020-11-06 08:00:00+00:00
1604678400000,0.00132615,2020-11-06 16:00:00+00:00
1604707200000,0.00088143,2020-11-07 00:00:00+00:00
1604736000000,0.00055856,2020-11-07 08:00:00+00:00
1604764800000,0.00103951,2020-11-07 16:00:00+00:00
1604793600000,0.00072146,2020-11-08 00:00:00+00:00
1604822400000,0.00024925,2020-11-08 08:00:00+00:00
1604851200000,0.00021327,2020-11-08 16:00:00+00:00
1604880000000,0.00039222,2020-11-09 00:00:00+00:00
1604908800000,0.00048197,2020-11-09 08:00:00+00:00
1604937600000,0.00040311,2020-11-09 16:00:00+00:00
1604966400000,0.00031246,2020-11-10 00:00:00+00:00
1604995200000,0.00012136,2020-11-10 08:00:00+00:00
1605024000000,0.00020313,2020-11-10 16:00:00+00:00
1605052800000,0.00054043,2020-11-11 00:00:00+00:00
1605081600000,0.00079846,2020-11-11 08:00:00+00:00
1605110400000,0.0006823,2020-11-11 16:00:00+00:00
1605139200000,0.00045698,2020-11-12 00:00:00+00:00
1605168000000,0.00042175,2020-11-12 08:00:00+00:00
1605196800000,0.00039396,2020-11-12 16:00:00+00:00
1605225600000,0.00056997,2020-11-13 00:00:00+00:00
1605254400000,0.00048928,2020-11-13 08:00:00+00:00
1605283200000,0.00037259,2020-11-13 16:00:00+00:00
1605312000000,0.00065348,2020-11-14 00:00:00+00:00
1605340800000,0.00077266,2020-11-14 08:00:00+00:00
1605369600000,0.00073787,2020-11-14 16:00:00+00:00
1605398400000,0.0005427,2020-11-15 00:00:00+00:00
1605427200000,0.00041894,2020-11-15 08:00:00+00:00
1605456000000,0.00037866,2020-11-15 16:00:00+00:00
1605484800000,0.00069352,2020-11-16 00:00:00+00:00
1605513600000,0.00052668,2020-11-16 08:00:00+00:00
1605542400000,0.00050466,2020-11-16 16:00:00+00:00
1605571200000,0.00057464,2020-11-17 00:00:00+00:00
1605600000000,0.0006653,2020-11-17 08:00:00+00:00
1605628800000,0.00080221,2020-11-17 16:00:00+00:00
1605657600000,0.00079836,2020-11-18 00:00:00+00:00
1605686400000,0.00125454,2020-11-18 08:00:00+00:00
1605715200000,0.00130319,2020-11-18 16:00:00+00:00
1605744000000,0.00085109,2020-11-19 00:00:00+00:00
1605772800000,0.00060984,2020-11-19 08:00:00+00:00
1605801600000,0.00071878,2020-11-19 16:00:00+00:00
1605830400000,0.00053327,2020-11-20 00:00:00+00:00
1605859200000,0.00038685,2020-11-20 08:00:00+00:00
1605888000000,0.00060391,2020-11-20 16:00:00+00:00
1605916800000,0.00109418,2020-11-21 00:00:00+00:00
1605945600000,0.00066013,2020-11-21 08:00:00+00:00
1605974400000,0.00040078,2020-11-21 16:00:00+00:00
1606003200000,0.0006687,2020-11-22 00:00:00+00:00
1606032000000,0.00108813,2020-11-22 08:00:00+00:00
1606060800000,0.00142431,2020-11-22 16:00:00+00:00
1606089600000,0.00116806,2020-11-23 00:00:00+00:00
1606118400000,0.00186592,2020-11-23 08:00:00+00:00
1606147200000,0.00187804,2020-11-23 16:00:00+00:00
1606176000000,0.00186322,2020-11-24 00:00:00+00:00
1606204800000,0.0015308,2020-11-24 08:00:00+00:00
1606233600000,0.00127134,2020-11-24 16:00:00+00:00
1606262400000,0.00136957,2020-11-25 00:00:00+00:00
1606291200000,0.00100391,2020-11-25 08:00:00+00:00
1606320000000,0.00076488,2020-11-25 16:00:00+00:00
1606348800000,0.00138034,2020-11-26 00:00:00+00:00
1606377600000,0.00094016,2020-11-26 08:00:00+00:00
1606406400000,0.00036442,2020-11-26 16:00:00+00:00
1606435200000,0.00020616,2020-11-27 00:00:00+00:00
1606464000000,0.00018528,2020-11-27 08:00:00+00:00
1606492800000,0.0001,2020-11-27 16:00:00+00:00
1606521600000,0.0001,2020-11-28 00:00:00+00:00
1606550400000,0.0001,2020-11-28 08:00:00+00:00
1606579200000,0.0001,2020-11-28 16:00:00+00:00
1606608000000,0.0001,2020-11-29 00:00:00+00:00
1606636800000,0.0001,2020-11-29 08:00:00+00:00
1606665600000,0.0001,2020-11-29 16:00:00+00:00
1606694400000,0.0001,2020-11-30 00:00:00+00:00
1606723200000,0.0001,2020-11-30 08:00:00+00:00
1606752000000,0.00026744,2020-11-30 16:00:00+00:00
1606780800000,0.00061057,2020-12-01 00:00:00+00:00
1606809600000,0.0004922,2020-12-01 08:00:00+00:00
1606838400000,0.00077458,2020-12-01 16:00:00+00:00
1606867200000,0.00094996,2020-12-02 00:00:00+00:00
1606896000000,0.00047638,2020-12-02 08:00:00+00:00
1606924800000,0.00043711,2020-12-02 16:00:00+00:00
1606953600000,0.00015496,2020-12-03 00:00:00+00:00
1606982400000,0.00010134,2020-12-03 08:00:00+00:00
1607011200000,0.0001,2020-12-03 16:00:00+00:00
1607040000000,0.00059227,2020-12-04 00:00:00+00:00
1607068800000,0.00041425,2020-12-04 08:00:00+00:00
1607097600000,0.00027857,2020-12-04 16:00:00+00:00
1607126400000,0.0001,2020-12-05 00:00:00+00:00
1607155200000,0.0002045,2020-12-05 08:00:00+00:00
1607184000000,0.0001603,2020-12-05 16:00:00+00:00
1607212800000,0.0001,2020-12-06 00:00:00+00:00
1607241600000,0.0001,2020-12-06 08:00:00+00:00
1607270400000,0.0001,2020-12-06 16:00:00+00:00
1607299200000,0.0001,2020-12-07 00:00:00+00:00
1607328000000,0.0001,2020-12-07 08:00:00+00:00
1607356800000,0.0001,2020-12-07 16:00:00+00:00
1607385600000,0.0001,2020-12-08 00:00:00+00:00
1607414400000,0.00023273,2020-12-08 08:00:00+00:00
1607443200000,0.00020141,2020-12-08 16:00:00+00:00
1607472000000,0.00010312,2020-12-09 00:00:00+00:00
1607500800000,0.00015268,2020-12-09 08:00:00+00:00
1607529600000,0.0001,2020-12-09 16:00:00+00:00
1607558400000,0.0001,2020-12-10 00:00:00+00:00
1607587200000,0.0001,2020-12-10 08:00:00+00:00
1607616000000,0.0001,2020-12-10 16:00:00+00:00
1607644800000,0.0001,2020-12-11 00:00:00+00:00
1607673600000,0.00018893,2020-12-11 08:00:00+00:00
1607702400000,0.00026869,2020-12-11 16:00:00+00:00
1607731200000,0.0001,2020-12-12 00:00:00+00:00
1607760000000,0.0001,2020-12-12 08:00:00+00:00
1607788800000,0.0001,2020-12-12 16:00:00+00:00
1607817600000,0.0001,2020-12-13 00:00:00+00:00
1607846400000,0.0001,2020-12-13 08:00:00+00:00
1607875200000,0.0001,2020-12-13 16:00:00+00:00
1607904000000,0.0001,2020-12-14 00:00:00+00:00
1607932800000,0.0001,2020-12-14 08:00:00+00:00
1607961600000,0.0001,2020-12-14 16:00:00+00:00
1607990400000,0.0001,2020-12-15 00:00:00+00:00
1608019200000,0.0001,2020-12-15 08:00:00+00:00
1608048000000,0.0001,2020-12-15 16:00:00+00:00
1608076800000,0.0001,2020-12-16 00:00:00+00:00
1608105600000,0.0001,2020-12-16 08:00:00+00:00
1608134400000,0.0001,2020-12-16 16:00:00+00:00
1608163200000,0.00073442,2020-12-17 00:00:00+00:00
1608192000000,0.00087237,2020-12-17 08:00:00+00:00
1608220800000,0.00134431,2020-12-17 16:00:00+00:00
1608249600000,0.00200372,2020-12-18 00:00:00+00:00
1608278400000,0.00132797,2020-12-18 08:00:00+00:00
1608307200000,0.00075028,2020-12-18 16:00:00+00:00
1608336000000,0.00101211,2020-12-19 00:00:00+00:00
1608364800000,0.00111953,2020-12-19 08:00:00+00:00
1608393600000,0.00113616,2020-12-19 16:00:00+00:00
1608422400000,0.00134743,2020-12-20 00:00:00+00:00
1608451200000,0.00138066,2020-12-20 08:00:00+00:00
1608480000000,0.00073271,2020-12-20 16:00:00+00:00
1608508800000,0.00063918,2020-12-21 00:00:00+00:00
1608537600000,0.00043899,2020-12-21 08:00:00+00:00
1608566400000,0.00036658,2020-12-21 16:00:00+00:00
1608595200000,0.00023273,2020-12-22 00:00:00+00:00
1608624000000,0.00022232,2020-12-22 08:00:00+00:00
1608652800000,0.00020731,2020-12-22 16:00:00+00:00
1608681600000,0.00022659,2020-12-23 00:00:00+00:00
1608710400000,0.00041613,2020-12-23 08:00:00+00:00
1608739200000,0.00050361,2020-12-23 16:00:00+00:00
1608768000000,0.00023371,2020-12-24 00:00:00+00:00
1608796800000,0.0001,2020-12-24 08:00:00+00:00
1608825600000,0.0001,2020-12-24 16:00:00+00:00
1608854400000,0.0001,2020-12-25 00:00:00+00:00
1608883200000,0.0001,2020-12-25 08:00:00+00:00
1608912000000,0.0001,2020-12-25 16:00:00+00:00
1608940800000,0.0001,2020-12-26 00:00:00+00:00
1608969600000,0.0001,2020-12-26 08:00:00+00:00
1608998400000,0.00010924,2020-12-26 16:00:00+00:00
1609027200000,0.0001,2020-12-27 00:00:00+00:00
1609056000000,0.00050756,2020-12-27 08:00:00+00:00
1609084800000,0.00066122,2020-12-27 16:00:00+00:00
1609113600000,0.000779,2020-12-28 00:00:00+00:00
1609142400000,0.00137609,2020-12-28 08:00:00+00:00
1609171200000,0.00145218,2020-12-28 16:00:00+00:00
1609200000000,0.00104167,2020-12-29 00:00:00+00:00
1609228800000,0.00078326,2020-12-29 08:00:00+00:00
1609257600000,0.00075781,2020-12-29 16:00:00+00:00
1609286400000,0.0006746,2020-12-30 00:00:00+00:00
1609315200000,0.00065299,2020-12-30 08:00:00+00:00
1609344000000,0.00091281,2020-12-30 16:00:00+00:00
1609372800000,0.00068319,2020-12-31 00:00:00+00:00
1609401600000,0.00078829,2020-12-31 08:00:00+00:00
1609430400000,0.00053748,2020-12-31 16:00:00+00:00
1609459200000,0.00040403,2021-01-01 00:00:00+00:00
1609488000000,0.00031725,2021-01-01 08:00:00+00:00
1609516800000,0.0005071,2021-01-01 16:00:00+00:00
1609545600000,0.00051118,2021-01-02 00:00:00+00:00
1609574400000,0.00034563,2021-01-02 08:00:00+00:00
1609603200000,0.0004095,2021-01-02 16:00:00+00:00
1609632000000,0.00072959,2021-01-03 00:00:00+00:00
1609660800000,0.00082265,2021-01-03 08:00:00+00:00
1609689600000,0.00066401,2021-01-03 16:00:00+00:00
1609718400000,0.00151885,2021-01-04 00:00:00+00:00
1609747200000,0.00353174,2021-01-04 08:00:00+00:00
1609776000000,0.00375,2021-01-04 16:00:00+00:00
1609804800000,0.00341387,2021-01-05 00:00:00+00:00
1609833600000,0.00215247,2021-01-05 08:00:00+00:00
1609862400000,0.00135342,2021-01-05 16:00:00+00:00
1609891200000,0.00116087,2021-01-06 00:00:00+00:00
1609920000000,0.00190422,2021-01-06 08:00:00+00:00
1609948800000,0.00240987,2021-01-06 16:00:00+00:00
