asset,interval,variant,total_rows,train_rows,test_rows,test_start,test_end,accuracy,balanced_accuracy,f1,mcc,brier_score,accuracy_difference_from_baseline,significance_difference,significance_interval_low,significance_interval_high,mcnemar_p_value,model_only,baseline_only,cost_aware_total_return_pct,cost_aware_total_pnl,cost_aware_total_cost,cost_aware_sharpe_ratio,cost_aware_volatility_pct,cost_aware_max_drawdown_pct,cost_aware_win_rate,cost_aware_profit_factor,cost_aware_total_trades
BTC,1h,baseline,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.5238095238095238,0.5236118770498941,0.46808510638297873,0.04827560555032704,0.2649505872492181,0.0,0.0,0.0,0.0,1.0,0,0,47.5,4749.92,2711.16,4.79,164.85,25.34,50.0,1.8,20
BTC,1h,raw_funding,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.5276190476190477,0.5274069021565612,0.4678111587982833,0.05622777068966837,0.26349936008408814,0.003809523809523818,0.003809523809523818,-0.02666666666666667,0.03428571428571429,0.9006532462520331,33,31,47.0,4700.02,2423.3,4.97,154.07,22.38,50.0,2.39,18
BTC,1h,derived_funding,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.5257142857142857,0.5255710678315386,0.4865979381443299,0.05173107183786697,0.26742387949525837,0.0019047619047618536,0.0019047619047618536,-0.03238095238095238,0.03619047619047619,1.0,44,43,48.55,4855.28,2714.25,4.79,168.6,22.17,50.0,1.89,20
BTC,4h,baseline,706,564,142,2026-08-04T16:00:00,2026-08-28T04:00:00,0.49295774647887325,0.4930555555555556,0.49295774647887325,-0.013888888888888888,0.3791523108732734,0.0,0.0,0.0,0.0,1.0,0,0,16.7,1669.98,671.32,2.64,114.8,23.47,60.0,1.81,5
BTC,4h,raw_funding,706,564,142,2026-08-04T16:00:00,2026-08-28T04:00:00,0.5070422535211268,0.5077380952380952,0.4852941176470588,0.015550417235253727,0.3993212312041698,0.014084507042253502,0.014084507042253502,-0.02112676056338028,0.04929577464788732,0.6875,4,2,16.72,1672.18,671.32,2.61,117.57,23.47,60.0,1.81,5
BTC,4h,derived_funding,706,564,142,2026-08-04T16:00:00,2026-08-28T04:00:00,0.4859154929577465,0.48690476190476195,0.45112781954887216,-0.026451556715821417,0.34012654286444566,-0.007042253521126751,-0.007042253521126751,-0.06338028169014084,0.04929577464788732,1.0,8,9,0.57,56.99,826.57,0.79,148.38,24.22,50.0,1.02,6
ETH,1h,baseline,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.49333333333333335,0.4934403390125679,0.4637096774193548,-0.013202936189934093,0.29513983159183144,0.0,0.0,0.0,0.0,1.0,0,0,1.56,156.31,80.38,3.7,7.06,0.88,50.0,2.16,20
ETH,1h,raw_funding,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.5295238095238095,0.5299901314834703,0.3778337531486146,0.06878537471716789,0.2531590378762371,0.03619047619047616,0.03619047619047616,-0.011428571428571429,0.0838095238095238,0.15321494676013267,89,70,2.21,220.86,52.66,6.0,6.11,0.71,69.2,5.16,13
ETH,1h,derived_funding,2621,2096,525,2026-08-01T17:00:00,2026-08-28T08:00:00,0.5085714285714286,0.5086639770121615,0.484,0.0174102653399908,0.26794769959530024,0.015238095238095217,0.015238095238095217,-0.024761904761904763,0.05528571428571403,0.5229909838899945,64,56,2.43,242.83,85.34,5.42,7.49,0.76,52.4,2.56,21
ETH,4h,baseline,706,564,142,2026-08-04T16:00:00,2026-08-28T04:00:00,0.5352112676056338,0.5342657342657342,0.56,0.0683134318888543,0.31988537398112243,0.0,0.0,0.0,0.0,1.0,0,0,1.04,104.21,19.03,3.45,4.7,0.67,80.0,3.47,5
