asset,interval,variant,total_rows,train_rows,test_rows,test_start,test_end,accuracy,balanced_accuracy,f1,mcc,brier_score,accuracy_difference_from_baseline
BTC,1h,baseline,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5423076923076923,0.541181518249471,0.4892703862660944,0.0839892006222258,0.26077601343183493,0.0
BTC,1h,raw_funding,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5384615384615384,0.5375567753103224,0.4957983193277311,0.07606019285875916,0.2739508391261181,-0.0038461538461538325
BTC,1h,derived_funding,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5384615384615384,0.5373792368806498,0.48717948717948717,0.07611747880445342,0.26053784370109717,-0.0038461538461538325
BTC,4h,baseline,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.4857142857142857,0.4881535947712418,0.4461538461538462,-0.024038998019740368,0.39499825329788,0.0
BTC,4h,raw_funding,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.4928571428571429,0.4950980392156863,0.4580152671755725,-0.0099232062375357,0.39397668882592274,0.007142857142857173
BTC,4h,derived_funding,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.4785714285714286,0.47998366013071897,0.45925925925925926,-0.04021793144405704,0.3459809743346767,-0.0071428571428571175
ETH,1h,baseline,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5173076923076924,0.5173076923076924,0.4824742268041237,0.03493335058437492,0.29404217653595044,0.0
ETH,1h,raw_funding,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5307692307692308,0.5307692307692308,0.5196850393700787,0.061604110363369734,0.2899586666114373,0.013461538461538414
ETH,1h,derived_funding,2598,2078,520,2026-07-31T17:00:00,2026-08-27T09:00:00,0.5134615384615384,0.5134615384615384,0.4673684210526316,0.027335617595459598,0.260397586258965,-0.0038461538461539435
ETH,4h,baseline,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.5714285714285714,0.578125,0.5588235294117647,0.15728821740147397,0.24153231712028164,0.0
ETH,4h,raw_funding,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.5571428571428572,0.5649671052631579,0.5373134328358209,0.13140121234800203,0.2446731767579152,-0.014285714285714235
ETH,4h,derived_funding,700,560,140,2026-08-04T00:00:00,2026-08-27T04:00:00,0.4857142857142857,0.5028782894736842,0.3898305084745763,0.006257827179021986,0.251785696977401,-0.08571428571428569
SOL,1h,baseline,2522,2017,505,2026-07-30T02:00:00,2026-08-27T09:00:00,0.502970297029703,0.5030899052638182,0.5308411214953271,0.006225381716577071,0.2558154688658593,0.0
SOL,1h,raw_funding,2522,2017,505,2026-07-30T02:00:00,2026-08-27T09:00:00,0.5148514851485149,0.5148848735805258,0.5224171539961013,0.029786570981078238,0.2654269614121329,0.011881188118811892
SOL,1h,derived_funding,2522,2017,505,2026-07-30T02:00:00,2026-08-27T09:00:00,0.4891089108910891,0.4891382771817554,0.49609375,-0.021732992306093647,0.2752947723183524,-0.013861386138613874
SOL,4h,baseline,695,556,139,2026-08-03T08:00:00,2026-08-27T04:00:00,0.5251798561151079,0.5372141372141372,0.4406779661016949,0.07984033445607522,0.29537594639703735,0.0
SOL,4h,raw_funding,695,556,139,2026-08-03T08:00:00,2026-08-27T04:00:00,0.5179856115107914,0.5257796257796258,0.47244094488188976,0.05296536655328069,0.29397886204698237,-0.007194244604316502
SOL,4h,derived_funding,695,556,139,2026-08-03T08:00:00,2026-08-27T04:00:00,0.4748201438848921,0.4824324324324324,0.4251968503937008,-0.0360933344657437,0.32120982873787246,-0.05035971223021579
